,,,,,,,
,Divendres 14,,,,,,MASCULI
17-18h,,,,HANDBALL 3ª-4ª,,,
18-19h,,,,,,,
19-20h,,,,,CROSS,,
20-21h,,,,,,,
21-22h,,,,BASQUET 3ª-4ª,,,
22-23h,,,,BASQUET FINALS,,,
23-0h,,,,BASQUET FINALS,,,
0-1h,,,,BASQUET PREV. F.,,,
,,,,,,,
,Dilluns 24,,,,,,
,Club De Begues,,Poliesportiu,,Altres,,
17-18h,,,,,,,
18-19h,,"WATERPOLO FINALS
3ª-4ª LLOC",VOLEY 7-8,,,,
19-20h,,,VOLEY 9-10,,,,
20-21h,,,,VOLEY 3ª-4ª,,,
21-22h,,,,VOLEY FINALS,,,
22-23h,,,FUTBOL SALA 1,,,,
23-0h,,,FUTBOL SALA 2,,,,
0-1h,,,,,,,
,,,,,,,
,Dimarts 25,,,,,,
,Club De Begues,,Poliesportiu,,Altres,,
17-18h,,,,,,,
18-19h,,,FUTBOL SALA 3,,,,
19-20h,,,FUTBOL SALA 4,,,,
20-21h,,,,,,,
21-22h,,,,,,,
22-23h,,,,,,,
23-0h,,,,,,,
0-1h,,,,,,,
,,,,,,,
,LIMIT SEMIS I 9ª - 10ª LLOC,,,,,,"PETANCA, DOMINO, TENIS, FRONTON, PADEL, BILLAR"
,,,,,,,
,Dimecres 26,,,,,,
,Club De Begues,,Poliesportiu,,Altres,,
17-18h,,,,,,,
18-19h,,,,FUTBOL SALA 1ª,,,
19-20h,,,,FUTBOL SALA 1ª,,,
20-21h,,,FUTBOL SALA 5,,,,
21-22h,,,FUTBOL SALA 6,,,,
22-23h,,,,FUTBOL SALA 1ª,,,
23-0h,,,,FUTBOL SALA 1ª,,,
0-1h,,,,,,,
,,,,,,,
,Dijous 27,,,,,,
,Club De Begues,,Poliesportiu,,Altres,,
17-18h,,,,,,,
18-19h,,,FUTBOL SALA 7,,,,
19-20h,,,FUTBOL SALA 8,,,,
20-21h,,,,,DARDS 7-8,,
21-22h,,,,,DARDS 3ª-4ª,,
